claim,meme,average_score,evaluation_type
1,5,3.4,worst
1,4,3.433333333333333,worst
1,6,3.4571428571428577,worst
1,3,4.0600000000000005,best
1,1,4.0840000000000005,best
1,7,4.3,best
2,6,3.2000000000000006,worst
2,5,3.266666666666667,worst
2,2,3.54,worst
2,4,3.822222222222222,best
2,7,3.9,best
2,3,4.0,best
3,7,1.2,worst
3,6,3.0,worst
3,4,3.1999999999999997,worst
3,1,3.5999999999999996,best
3,5,3.8444444444444446,best
3,8,3.8857142857142852,best
4,4,2.1,worst
4,3,3.4000000000000004,worst
4,5,3.5,worst
4,7,3.8666666666666667,best
4,2,3.9272727272727277,best
4,8,3.9673469387755103,best
5,7,2.7,worst
5,2,3.0999999999999996,worst
5,3,3.28,worst
5,8,3.706666666666667,best
5,5,3.711111111111111,best
5,1,3.733333333333333,best
6,5,2.4666666666666663,worst
6,3,3.575,worst
6,7,3.75,worst
6,8,3.891891891891891,best
6,2,3.9076923076923076,best
6,4,4.066666666666666,best
7,2,3.1999999999999997,worst
7,7,3.1999999999999997,worst
7,3,3.5,worst
7,1,3.857142857142857,best
7,5,3.9384615384615382,best
7,6,4.066666666666666,best
8,5,2.7777777777777777,worst
8,7,3.4,worst
8,4,3.5,worst
8,3,3.7800000000000002,best
8,8,3.782857142857142,best
8,1,3.8000000000000003,best
9,5,2.7600000000000002,worst
9,6,3.233333333333333,worst
9,3,3.3,worst
9,2,3.8153846153846156,best
9,7,4.0,best
9,4,4.199999999999999,best
10,3,2.88,worst
10,7,3.0857142857142854,worst
10,4,3.3,worst
10,5,3.466666666666667,best
10,1,3.8000000000000007,best
10,6,4.085714285714286,best
11,5,2.8,worst
11,3,3.1333333333333333,worst
11,7,3.266666666666667,worst
11,4,3.6307692307692316,best
11,2,3.8526315789473684,best
11,6,4.0,best
12,5,2.2333333333333334,worst
12,3,3.1999999999999997,worst
12,4,3.4,worst
12,2,3.7,best
12,7,3.95,best
12,6,4.0,best
